year,month,year_month,airport,residence_country,traveller_type,counts
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Africa - other countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Africa - other countries,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Africa - other countries,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Algeria,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Algeria,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Algeria,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Americas, countries other than the United States of America",Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Americas, countries other than the United States of America",Tourists (overnight),17
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Americas, countries other than the United States of America",Visitors,17
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Americas, countries other than the United States of America - other countries",Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Americas, countries other than the United States of America - other countries",Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Americas, countries other than the United States of America - other countries",Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Antarctica and Adjacent Islands,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Antarctica and Adjacent Islands,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Antarctica and Adjacent Islands,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Antarctica and Adjacent Islands - all countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Antarctica and Adjacent Islands - all countries,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Antarctica and Adjacent Islands - all countries,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Argentina,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Argentina,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Argentina,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Asia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Asia,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Asia,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Asia - other countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Asia - other countries,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Asia - other countries,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Australia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Australia,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Australia,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Austria,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Austria,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Austria,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Bahamas,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Bahamas,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Bahamas,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Barbados,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Barbados,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Barbados,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Belgium,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Belgium,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Belgium,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Bermuda,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Bermuda,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Bermuda,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Brazil,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Brazil,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Brazil,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Canadian residents returning from countries other than the United States of America, air",Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta","Canadian residents returning from countries other than the United States of America, air",Tourists (overnight),475
